observation_id,institution_id,period,indicator_family,volume,operational_rate,substantive_rate,review_intensity,sedi,quality_flags,source_dataset_id
cfpb_2012-01,cfpb,2012-01,consumer_complaints,3230,0.988854,0.21517,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-02,cfpb,2012-02,consumer_complaints,3509,0.988886,0.194927,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-03,cfpb,2012-03,consumer_complaints,6229,0.99117,0.229571,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-04,cfpb,2012-04,consumer_complaints,5703,0.99246,0.221813,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-05,cfpb,2012-05,consumer_complaints,7614,0.996585,0.292225,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-06,cfpb,2012-06,consumer_complaints,7841,0.997959,0.308251,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-07,cfpb,2012-07,consumer_complaints,6755,0.998964,0.27772,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-08,cfpb,2012-08,consumer_complaints,6877,0.999273,0.269158,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-09,cfpb,2012-09,consumer_complaints,5492,1.0,0.263474,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-10,cfpb,2012-10,consumer_complaints,6741,0.999555,0.259457,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-11,cfpb,2012-11,consumer_complaints,6139,0.999511,0.228539,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2012-12,cfpb,2012-12,consumer_complaints,6238,0.99984,0.203751,,,insufficient_history_for_rolling_sedi,cfpb_complaints_monthly
cfpb_2013-01,cfpb,2013-01,consumer_complaints,9741,0.999692,0.214249,,0.669288,ok,cfpb_complaints_monthly
cfpb_2013-02,cfpb,2013-02,consumer_complaints,8349,0.99988,0.210923,,0.592642,ok,cfpb_complaints_monthly
cfpb_2013-03,cfpb,2013-03,consumer_complaints,8785,0.999431,0.210814,,0.631195,ok,cfpb_complaints_monthly
cfpb_2013-04,cfpb,2013-04,consumer_complaints,8632,0.999768,0.194741,,0.628554,ok,cfpb_complaints_monthly
cfpb_2013-05,cfpb,2013-05,consumer_complaints,8170,0.999633,0.185802,,0.607657,ok,cfpb_complaints_monthly
cfpb_2013-06,cfpb,2013-06,consumer_complaints,8035,1.0,0.192906,,0.536034,ok,cfpb_complaints_monthly
cfpb_2013-07,cfpb,2013-07,consumer_complaints,9270,0.999245,0.224595,,0.667293,ok,cfpb_complaints_monthly
cfpb_2013-08,cfpb,2013-08,consumer_complaints,9564,0.999373,0.223547,,0.650261,ok,cfpb_complaints_monthly
cfpb_2013-09,cfpb,2013-09,consumer_complaints,9636,0.999896,0.231112,,0.479217,ok,cfpb_complaints_monthly
cfpb_2013-10,cfpb,2013-10,consumer_complaints,9240,0.999459,0.219481,,0.587478,ok,cfpb_complaints_monthly
cfpb_2013-11,cfpb,2013-11,consumer_complaints,9318,0.998927,0.220434,,0.691329,ok,cfpb_complaints_monthly
cfpb_2013-12,cfpb,2013-12,consumer_complaints,9474,0.997889,0.221554,,0.803305,ok,cfpb_complaints_monthly
cfpb_2014-01,cfpb,2014-01,consumer_complaints,12615,0.998415,0.22069,,0.867605,ok,cfpb_complaints_monthly
cfpb_2014-02,cfpb,2014-02,consumer_complaints,13046,0.99931,0.222137,,0.661677,ok,cfpb_complaints_monthly
cfpb_2014-03,cfpb,2014-03,consumer_complaints,13940,0.999067,0.216858,,0.678985,ok,cfpb_complaints_monthly
cfpb_2014-04,cfpb,2014-04,consumer_complaints,13834,0.997615,0.204713,,0.79682,ok,cfpb_complaints_monthly
cfpb_2014-05,cfpb,2014-05,consumer_complaints,12158,0.997779,0.211466,,0.672697,ok,cfpb_complaints_monthly
cfpb_2014-06,cfpb,2014-06,consumer_complaints,12508,0.998721,0.205389,,0.640888,ok,cfpb_complaints_monthly
cfpb_2014-07,cfpb,2014-07,consumer_complaints,13402,0.998657,0.200567,,0.72063,ok,cfpb_complaints_monthly
cfpb_2014-08,cfpb,2014-08,consumer_complaints,13169,0.998633,0.193561,,0.715611,ok,cfpb_complaints_monthly
cfpb_2014-09,cfpb,2014-09,consumer_complaints,12454,0.997832,0.18749,,0.739251,ok,cfpb_complaints_monthly
cfpb_2014-10,cfpb,2014-10,consumer_complaints,12882,0.997361,0.187626,,0.750884,ok,cfpb_complaints_monthly
cfpb_2014-11,cfpb,2014-11,consumer_complaints,11243,0.997154,0.186516,,0.671019,ok,cfpb_complaints_monthly
cfpb_2014-12,cfpb,2014-12,consumer_complaints,11658,0.995625,0.180648,,0.77546,ok,cfpb_complaints_monthly
cfpb_2015-01,cfpb,2015-01,consumer_complaints,12608,0.994845,0.200666,,0.686894,ok,cfpb_complaints_monthly
cfpb_2015-02,cfpb,2015-02,consumer_complaints,12657,0.997393,0.195465,,0.530506,ok,cfpb_complaints_monthly
cfpb_2015-03,cfpb,2015-03,consumer_complaints,14489,0.996618,0.196908,,0.686932,ok,cfpb_complaints_monthly
cfpb_2015-04,cfpb,2015-04,consumer_complaints,13729,0.994027,0.197465,,0.725201,ok,cfpb_complaints_monthly
cfpb_2015-05,cfpb,2015-05,consumer_complaints,13671,0.995831,0.189818,,0.656374,ok,cfpb_complaints_monthly
cfpb_2015-06,cfpb,2015-06,consumer_complaints,14502,0.99669,0.184388,,0.697884,ok,cfpb_complaints_monthly
cfpb_2015-07,cfpb,2015-07,consumer_complaints,15895,0.995785,0.193583,,0.698781,ok,cfpb_complaints_monthly
cfpb_2015-08,cfpb,2015-08,consumer_complaints,15756,0.997525,0.18374,,0.649958,ok,cfpb_complaints_monthly
cfpb_2015-09,cfpb,2015-09,consumer_complaints,14320,0.997277,0.17486,,0.644215,ok,cfpb_complaints_monthly
cfpb_2015-10,cfpb,2015-10,consumer_complaints,14879,0.997446,0.220647,,0.251922,ok,cfpb_complaints_monthly
cfpb_2015-11,cfpb,2015-11,consumer_complaints,12890,0.997052,0.185648,,0.455934,ok,cfpb_complaints_monthly
cfpb_2015-12,cfpb,2015-12,consumer_complaints,12877,0.996971,0.183505,,0.457812,ok,cfpb_complaints_monthly
cfpb_2016-01,cfpb,2016-01,consumer_complaints,13827,0.995878,0.179215,,0.594173,ok,cfpb_complaints_monthly
cfpb_2016-02,cfpb,2016-02,consumer_complaints,14131,0.994905,0.181374,,0.650371,ok,cfpb_complaints_monthly
cfpb_2016-03,cfpb,2016-03,consumer_complaints,16599,0.995964,0.181457,,0.711292,ok,cfpb_complaints_monthly
cfpb_2016-04,cfpb,2016-04,consumer_complaints,15595,0.99564,0.18134,,0.636455,ok,cfpb_complaints_monthly
cfpb_2016-05,cfpb,2016-05,consumer_complaints,15510,0.997099,0.18646,,0.499154,ok,cfpb_complaints_monthly
cfpb_2016-06,cfpb,2016-06,consumer_complaints,16054,0.996076,0.197272,,0.545721,ok,cfpb_complaints_monthly
cfpb_2016-07,cfpb,2016-07,consumer_complaints,16032,0.997193,0.203593,,0.419605,ok,cfpb_complaints_monthly
cfpb_2016-08,cfpb,2016-08,consumer_complaints,17678,0.99621,0.187069,,0.673405,ok,cfpb_complaints_monthly
cfpb_2016-09,cfpb,2016-09,consumer_complaints,17560,0.996071,0.177221,,0.691864,ok,cfpb_complaints_monthly
cfpb_2016-10,cfpb,2016-10,consumer_complaints,17789,0.99539,0.177975,,0.722629,ok,cfpb_complaints_monthly
cfpb_2016-11,cfpb,2016-11,consumer_complaints,15194,0.996775,0.170067,,0.560833,ok,cfpb_complaints_monthly
cfpb_2016-12,cfpb,2016-12,consumer_complaints,15325,0.995954,0.175139,,0.56649,ok,cfpb_complaints_monthly
cfpb_2017-01,cfpb,2017-01,consumer_complaints,20988,0.996903,0.150086,,0.835177,ok,cfpb_complaints_monthly
cfpb_2017-02,cfpb,2017-02,consumer_complaints,18079,0.995298,0.164777,,0.703724,ok,cfpb_complaints_monthly
cfpb_2017-03,cfpb,2017-03,consumer_complaints,19740,0.995137,0.168338,,0.748672,ok,cfpb_complaints_monthly
