observation_id,institution_id,period,period_start,period_end,pending,received,completed,qai,source_qai,qai_delta,quality_flags,source_dataset_id
eoir_2016,eoir,2016,2016-10-01,2017-09-30,826488,228450,143478,,,,first_period_qai_undefined,eoir_workload_annual
eoir_2017,eoir,2017,2017-10-01,2018-09-30,975977,295259,163072,0.916706,0.917,-0.000294,ok,eoir_workload_annual
eoir_2018,eoir,2018,2018-10-01,2019-09-30,1108300,316132,195145,0.678075,0.678,7.5e-05,ok,eoir_workload_annual
eoir_2019,eoir,2019,2019-10-01,2020-09-30,1391361,547236,277076,1.021601,1.022,-0.000399,ok,eoir_workload_annual
eoir_2020,eoir,2020,2020-10-01,2021-09-30,1551975,369586,232312,0.691372,0.691,0.000372,ok,eoir_workload_annual
eoir_2021,eoir,2021,2021-10-01,2022-09-30,1694232,244262,115966,1.226713,1.227,-0.000287,ok,eoir_workload_annual
eoir_2022,eoir,2022,2022-10-01,2023-09-30,2105305,707525,314814,1.305765,1.306,-0.000235,ok,eoir_workload_annual
eoir_2023,eoir,2023,2023-10-01,2024-09-30,2811648,1206103,526754,1.340935,1.341,-6.5e-05,ok,eoir_workload_annual
eoir_2024,eoir,2024,2024-10-01,2025-09-30,3925351,1783909,704949,1.579835,1.58,-0.000165,ok,eoir_workload_annual
eoir_2025,eoir,2025,2025-10-01,2026-09-30,3723932,562372,798014,-0.2524,-0.252,-0.0004,ok,eoir_workload_annual
eoir_2026,eoir,2026,2026-10-01,2027-09-30,3570145,238041,402714,-0.381876,-0.382,0.000124,ok,eoir_workload_annual
uscis_fy2019q1,uscis,FY2019Q1,2019-01-01,2019-03-28,5691832,,,,,,missing_completions|received_not_reported_in_snapshot|first_period_qai_undefined,uscis_workload_quarterly
uscis_fy2019q2,uscis,FY2019Q2,2019-04-01,2019-06-28,5705233,,1946000,0.006886,0.007,-0.000114,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2019q3,uscis,FY2019Q3,2019-07-01,2019-09-28,5738922,,1890000,0.017825,0.018,-0.000175,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2019q4,uscis,FY2019Q4,2019-10-01,2019-12-28,5771611,,1912000,0.017097,0.017,9.7e-05,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2020q1,uscis,FY2020Q1,2020-01-01,2020-03-28,5804300,,1935000,0.016894,0.017,-0.000106,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2020q2,uscis,FY2020Q2,2020-04-01,2020-06-28,5837000,,1920000,0.017031,0.017,3.1e-05,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2020q3,uscis,FY2020Q3,2020-07-01,2020-09-28,5869700,,1905000,0.017165,0.017,0.000165,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2020q4,uscis,FY2020Q4,2020-10-01,2020-12-28,5902400,,1890000,0.017302,0.017,0.000302,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2021q1,uscis,FY2021Q1,2021-01-01,2021-03-28,5935100,,1875000,0.01744,0.017,0.00044,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2021q2,uscis,FY2021Q2,2021-04-01,2021-06-28,5967800,,1860000,0.017581,0.018,-0.000419,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2021q3,uscis,FY2021Q3,2021-07-01,2021-09-28,6000500,,1845000,0.017724,0.018,-0.000276,received_not_reported_in_snapshot,uscis_workload_quarterly
uscis_fy2021q4,uscis,FY2021Q4,2021-10-01,2021-12-28,6033200,,1830000,0.017869,0.018,-0.000131,received_not_reported_in_snapshot,uscis_workload_quarterly
