year,month,ym,total,untimely_n,relief_n,explanation_n,untimely_resp_n,in_progress_n,closed_total
2012,1,2012-01,3230,192,695,77,36,0,3230
2012,2,2012-02,3509,136,684,93,39,0,3509
2012,3,2012-03,6229,225,1430,187,55,0,6229
2012,4,2012-04,5703,237,1265,342,43,0,5703
2012,5,2012-05,7614,400,2225,2762,26,0,7614
2012,6,2012-06,7841,356,2417,5136,16,0,7841
2012,7,2012-07,6755,233,1876,4718,7,0,6755
2012,8,2012-08,6877,210,1851,4795,5,0,6877
2012,9,2012-09,5492,146,1447,3887,0,0,5492
2012,10,2012-10,6741,150,1749,4800,3,0,6741
2012,11,2012-11,6139,105,1403,4568,3,0,6139
2012,12,2012-12,6238,117,1271,4748,1,0,6238
2013,1,2013-01,9741,96,2087,7386,3,0,9741
2013,2,2013-02,8349,71,1761,6362,1,0,8349
2013,3,2013-03,8785,60,1852,6671,5,0,8785
2013,4,2013-04,8632,64,1681,6666,2,0,8632
2013,5,2013-05,8170,56,1518,6386,3,0,8170
2013,6,2013-06,8035,50,1550,6255,0,0,8035
2013,7,2013-07,9270,120,2082,6916,7,0,9270
2013,8,2013-08,9564,112,2138,7137,6,0,9564
2013,9,2013-09,9636,151,2227,7173,1,0,9636
2013,10,2013-10,9240,120,2028,6973,5,0,9240
2013,11,2013-11,9318,168,2054,7027,10,0,9318
2013,12,2013-12,9474,197,2099,7081,20,0,9474
2014,1,2014-01,12615,237,2784,9496,20,0,12615
2014,2,2014-02,13046,224,2898,9866,9,0,13046
2014,3,2014-03,13940,215,3023,10605,13,0,13940
2014,4,2014-04,13834,303,2832,10671,33,0,13834
2014,5,2014-05,12158,241,2571,9290,27,0,12158
2014,6,2014-06,12508,255,2569,9670,16,0,12508
2014,7,2014-07,13402,276,2688,10415,18,0,13402
2014,8,2014-08,13169,330,2549,10269,18,0,13169
2014,9,2014-09,12454,310,2335,9790,27,0,12454
2014,10,2014-10,12882,381,2417,10128,34,0,12882
2014,11,2014-11,11243,323,2097,8821,32,0,11243
2014,12,2014-12,11658,404,2106,9179,51,0,11658
2015,1,2015-01,12608,363,2530,9677,65,0,12608
2015,2,2015-02,12657,375,2474,9805,33,0,12657
2015,3,2015-03,14489,402,2853,11176,49,0,14489
2015,4,2015-04,13729,423,2711,10595,82,0,13729
2015,5,2015-05,13671,360,2595,10694,57,0,13671
2015,6,2015-06,14502,395,2674,11410,48,0,14502
2015,7,2015-07,15895,440,3077,12384,67,0,15895
2015,8,2015-08,15756,410,2895,12491,39,0,15756
2015,9,2015-09,14320,344,2504,11458,39,0,14320
2015,10,2015-10,14879,380,3283,11144,38,0,14879
2015,11,2015-11,12890,390,2393,10098,38,0,12890
2015,12,2015-12,12877,340,2363,10135,39,0,12877
2016,1,2016-01,13827,442,2478,10944,57,0,13827
2016,2,2016-02,14131,408,2563,11173,72,0,14131
2016,3,2016-03,16599,486,3012,13204,67,0,16599
2016,4,2016-04,15595,425,2828,12429,68,0,15595
2016,5,2016-05,15510,408,2892,12291,45,0,15510
2016,6,2016-06,16054,409,3167,12442,63,0,16054
2016,7,2016-07,16032,391,3264,12441,45,0,16032
2016,8,2016-08,17678,496,3307,14002,67,0,17678
2016,9,2016-09,17560,695,3112,14059,69,0,17560
