year,upload,corresp,tenk,s1
2006,13266,10993,9920,2731
2007,12288,10777,9624,2737
2008,13093,10142,10162,3357
2009,14912,13093,11771,2486
2010,14455,14264,11001,4350
2011,13301,13075,10544,4402
2012,11273,11422,9968,3610
2013,11395,11840,9559,3485
2014,9738,10824,9247,3840
2015,8105,9331,8869,2983
2016,7497,9493,8388,2296
2017,7027,9249,7898,2359
2018,5888,8249,7816,2343
2019,5029,7051,7643,1867
2020,6160,9118,7413,2890
2021,8059,12330,8014,5619
2022,7726,9484,8401,2715
2023,7806,9540,7997,2553
2024,7847,10202,7490,2663
