period,pending,received,completed,qai,quality_flags
2016,826488,228450,143478,,first_period_qai_undefined
2017,975977,295259,163072,0.916706,ok
2018,1108300,316132,195145,0.678075,ok
2019,1391361,547236,277076,1.021601,ok
2020,1551975,369586,232312,0.691372,ok
2021,1694232,244262,115966,1.226713,ok
2022,2105305,707525,314814,1.305765,ok
2023,2811648,1206103,526754,1.340935,ok
2024,3925351,1783909,704949,1.579835,ok
2025,3723932,562372,798014,-0.2524,ok
2026,3570145,238041,402714,-0.381876,ok
