institution,period,pending,completed,net_change,backlog_growth,clearance_ratio,backlog_to_completions,qai
EOIR,2016,826488.0,143478.0,,,,,
EOIR,2017,975977.0,163072.0,149489.0,0.180873,0.197307,5.984945,0.916706
EOIR,2018,1108300.0,195145.0,132323.0,0.13558,0.199948,5.679367,0.678075
EOIR,2019,1391361.0,277076.0,283061.0,0.255401,0.250001,5.021586,1.021601
EOIR,2020,1551975.0,232312.0,160614.0,0.115437,0.166967,6.680563,0.691372
EOIR,2021,1694232.0,115966.0,142257.0,0.091662,0.074722,14.60973,1.226713
EOIR,2022,2105305.0,314814.0,411073.0,0.242631,0.185815,6.687457,1.305765
EOIR,2023,2811648.0,526754.0,706343.0,0.335506,0.250203,5.337687,1.340935
EOIR,2024,3925351.0,704949.0,1113703.0,0.396103,0.250724,5.568277,1.579835
USCIS,FY2019Q1,5691832.0,,,,,,
USCIS,FY2019Q2,5705233.0,1946000.0,13401.0,0.002354,0.341893,2.931774,0.006886
USCIS,FY2019Q3,5738922.0,1890000.0,33689.0,0.005905,0.331275,3.036467,0.017825
USCIS,FY2019Q4,5771611.0,1912000.0,32689.0,0.005696,0.333164,3.018625,0.017097
USCIS,FY2020Q1,5804300.0,1935000.0,32689.0,0.005664,0.335262,2.999638,0.016894
USCIS,FY2020Q2,5837000.0,1920000.0,32700.0,0.005634,0.330789,3.040104,0.017031
USCIS,FY2020Q3,5869700.0,1905000.0,32700.0,0.005602,0.326366,3.081207,0.017165
USCIS,FY2020Q4,5902400.0,1890000.0,32700.0,0.005571,0.321993,3.122963,0.017302
USCIS,FY2021Q1,5935100.0,1875000.0,32700.0,0.00554,0.317667,3.165387,0.01744
USCIS,FY2021Q2,5967800.0,1860000.0,32700.0,0.00551,0.31339,3.208495,0.017581
USCIS,FY2021Q3,6000500.0,1845000.0,32700.0,0.005479,0.309159,3.252304,0.017724
USCIS,FY2021Q4,6033200.0,1830000.0,32700.0,0.00545,0.304975,3.296831,0.017869
